course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,search_content
1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,True,200,2147,23,51,All Levels,1.5,2017-01-18 20:58:58+00:00,Business Finance,Ultimate Investment Banking Course Business Finance 2017-01-18 20:58:58+00:00 1070968
1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,True,75,2792,923,274,All Levels,39.0,2017-03-09 16:34:20+00:00,Business Finance,Complete GST Course & Certification - Grow Your CA Practice Business Finance 2017-03-09 16:34:20+00:00 1113822
1006314,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,True,45,2174,74,51,Intermediate Level,2.5,2016-12-19 19:26:30+00:00,Business Finance,Financial Modeling for Business Analysts and Consultants Business Finance 2016-12-19 19:26:30+00:00 1006314
1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,True,95,2451,11,36,All Levels,3.0,2017-05-30 20:07:24+00:00,Business Finance,Beginner to Pro - Financial Analysis in Excel 2017 Business Finance 2017-05-30 20:07:24+00:00 1210588
1011058,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,True,200,1276,45,26,Intermediate Level,2.0,2016-12-13 14:57:18+00:00,Business Finance,How To Maximize Your Profits Trading Options Business Finance 2016-12-13 14:57:18+00:00 1011058
192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,True,150,9221,138,25,All Levels,3.0,2014-05-02 15:13:30+00:00,Business Finance,Trading Penny Stocks: A Guide for All Levels In 2017 Business Finance 2014-05-02 15:13:30+00:00 192870
739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,True,65,1540,178,26,Beginner Level,1.0,2016-02-21 18:23:12+00:00,Business Finance,Investing And Trading For Beginners: Mastering Price Charts Business Finance 2016-02-21 18:23:12+00:00 739964
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,True,95,2917,148,23,All Levels,2.5,2015-01-30 22:13:03+00:00,Business Finance,"Trading Stock Chart Patterns For Immediate, Explosive Gains Business Finance 2015-01-30 22:13:03+00:00 403100"
476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,True,195,5172,34,38,Expert Level,2.5,2015-05-28 00:14:03+00:00,Business Finance,Options Trading 3 : Advanced Stock Profit and Success Method Business Finance 2015-05-28 00:14:03+00:00 476268
1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,True,200,827,14,15,All Levels,1.0,2017-04-18 18:13:32+00:00,Business Finance,The Only Investment Strategy You Need For Your Retirement Business Finance 2017-04-18 18:13:32+00:00 1167710
592338,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,True,200,4284,93,76,All Levels,5.0,2015-09-11 16:47:02+00:00,Business Finance,Forex Trading Secrets of the Pros With Amazon's AWS Business Finance 2015-09-11 16:47:02+00:00 592338
975046,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,True,200,1380,42,17,All Levels,1.0,2016-10-18 22:52:31+00:00,Business Finance,Trading Options With Money Flow Business Finance 2016-10-18 22:52:31+00:00 975046
742602,Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,True,30,3607,21,19,All Levels,1.5,2016-02-03 18:04:01+00:00,Business Finance,Financial Management Risk and Return For Securities Business Finance 2016-02-03 18:04:01+00:00 742602
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,True,195,4061,52,16,All Levels,2.0,2016-03-16 15:40:19+00:00,Business Finance,Forex Trading Course: Work Smarter Not Harder Proven Results Business Finance 2016-03-16 15:40:19+00:00 794151
1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,True,200,294,19,42,All Levels,7.0,2017-04-28 16:41:44+00:00,Business Finance,Python Algo Trading: Sentiment Trading with News Business Finance 2017-04-28 16:41:44+00:00 1196544
